Node_ID           X-Coord            Y-Coord           
NODO283          5657041.730        6151977.697       
NODO284          5656954.816        6151938.637       
NODO287          5656793.490        6151750.599       
NODO289          5656848.698        6152225.049       
NODO291          5656914.717        6152032.194       
NODO292          5657180.100        6152364.082       
NODO294          5656966.803        6152219.855       
NODO295          5656957.995        6152265.320       
NODO297          5656630.105        6152144.507       
NODO298          5657022.562        6152095.977       
NODO299          5657420.932        6151597.008       
NODO300          5657359.752        6151692.625       
NODO301          5657298.578        6151788.461       
NODO303          5657438.110        6151872.947       
NODO305          5657169.813        6151591.228       
NODO307          5657700.399        6151775.690       
NODO309          5657513.773        6151655.760       
NODO310          5657840.783        6151859.137       
NODO312          5657893.191        6151442.067       
NODO314          5657763.875        6151664.842       
NODO315          5658238.924        6151659.063       
NODO317          5658064.956        6151550.060       
NODO320          5657569.577        6151976.618       
NODO321          5657624.735        6151886.635       
NODO322          5657783.804        6152360.900       
NODO324          5657568.996        6152223.908       
NODO325          5657389.655        6152508.984       
NODO327          5657508.450        6152319.525       
NODO328          5657474.489        6152559.956       
NODO331          5657942.727        6152546.590       
NODO333          5657738.304        6152432.039       
NODO334          5657531.946        6152763.525       
NODO335          5657588.538        6152658.327       
NODO337          5657692.804        6152503.178       
NODO338          5657876.991        6152206.661       
NODO341          5657995.203        6152021.784       
NODO343          5658135.881        6151796.773       
NODO346          5658341.601        6151499.649       
NODO347          5658290.238        6151578.288       
NODO348          5658421.016        6151381.426       
NODO349          5658381.309        6151440.538       
NODO350          5657335.071        6153090.084       
NODO352          5657203.197        6153295.082       
NODO354          5657115.873        6153443.268       
NODO356          5657030.739        6153579.492       
NODO358          5656948.038        6153718.060       
NODO360          5656895.978        6153943.970       
NODO364          5656811.989        6154241.594       
NODO366          5656766.640        6153583.994       
NODO368          5656576.858        6153450.072       
NODO370          5656513.661        6153679.186       
NODO372          5656450.464        6153908.301       
NODO373          5656422.560        6154028.759       
NODO374          5656634.024        6153289.286       
NODO376          5656693.299        6153111.770       
NODO378          5656727.564        6153013.394       
NODO379          5655686.543        6152096.135       
NODO381          5655492.069        6151974.266       
NODO383          5655297.594        6151852.396       
NODO384          5655482.919        6152451.362       
NODO387          5655230.154        6152291.576       
NODO388          5656996.985        6154339.824       
NODO391          5656617.143        6154135.148       
NODO394          5656230.061        6153925.161       
NODO396          5656042.352        6153821.481       
NODO397          5655948.498        6153769.642       
NODO398          5655859.957        6153715.049       
NODO399          5655625.079        6153568.925       
NODO402          5655547.558        6153518.953       
NODO404          5655764.857        6153859.025       
NODO406          5655558.282        6153735.003       
NODO407          5655454.084        6153673.133       
NODO408          5655176.076        6153913.438       
